,Ross,Jake,eli,Aaron,Michael,Matthew,Jacob,jordan,Jordan Jay,JJ Swerve,Zach,Zac Neff
QB,Lamar Jackson,Dak Prescott,Russell Wilson,Ben Roethlisberger,Kyler Murray,Cam Newton,Carson Wentz,Drew Brees,Matt Ryan,Patrick Mahomes,Deshaun Watson,Aaron Rodgers
WR1,T.Y. Hilton,Chris Godwin,Julio Jones,Amari Cooper,Cooper Kupp,Terry McLaurin,Tyreek Hill,Adam Thielen,DK Metcalf,DJ Chark Jr.,Davante Adams,Michael Thomas
WR2,Marvin Jones Jr.,Diontae Johnson,JuJu Smith-Schuster,Allen Robinson II,A.J. Green,Michael Gallup,Odell Beckham Jr.,Tyler Lockett,Sterling Shepard,Keenan Allen,Calvin Ridley,DJ Moore
RB1,Alvin Kamara,Dalvin Cook,Nick Chubb,Clyde Edwards-Helaire,Josh Jacobs,Derrick Henry,Austin Ekeler,Saquon Barkley,Ezekiel Elliott,Christian McCaffrey,Joe Mixon,Le'Veon Bell
RB2,Kenyan Drake,Melvin Gordon III,David Johnson,Cam Akers,Aaron Jones,Raheem Mostert,Mark Ingram II,Chris Carson,Todd Gurley II,James Conner,Kareem Hunt,James White
TE,Rob Gronkowski,Hunter Henry,Tyler Higbee,Jared Cook,Zach Ertz,George Kittle,Mark Andrews,Noah Fant,Darren Waller,Evan Engram,Hayden Hurst,Travis Kelce
W/R/T,Jonathan Taylor,Boston Scott,Will Fuller V,DeAndre Hopkins,Emmanuel Sanders,Mike Evans,Henry Ruggs III,Stefon Diggs,Zack Moss,Tyler Boyd,A.J. Brown,Robert Woods
BN1,Jarvis Landry,Devin Singletary,Marquise Brown,DeVante Parker,Robby Anderson,Leonard Fournette,Darius Slayton,Julian Edelman,Courtland Sutton,Tarik Cohen,David Montgomery,Antonio Gibson
BN2,Josh Allen,Kenny Golladay,Christian Kirk,J.K. Dobbins,Latavius Murray,Jamison Crowder,D'Andre Swift,Matt Breida,Brandin Cooks,John Brown,Preston Williams,CeeDee Lamb
BN3,T.J. Hockenson,Alexander Mattison,Tevin Coleman,Ronald Jones II,N'Keal Harry,Jerry Jeudy,Jordan Howard,Tom Brady,Matthew Stafford,Mike Gesicki,Tony Pollard,Anthony Miller
BN4,Allen Lazard,Kerryon Johnson,DeSean Jackson,Phillip Lindsay,Darrell Henderson Jr.,Curtis Samuel,Chris Herndon,Austin Hooper,Justin Jefferson,Chase Edmonds,Mecole Hardman,Jared Goff
BN5,Sony Michel,Golden Tate,Eric Ebron,Marlon Mack,Jalen Reagor,Jonnu Smith,Ryan Tannehill,Duke Johnson,Blake Jarwin,Daniel Jones,Joe Burrow,Brandon Aiyuk
BN6,Larry Fitzgerald,Parris Campbell,Jimmy Garoppolo,Darrel Williams,,Sammy Watkins,Michael Pittman Jr.,Mike Williams,Marquez Valdes-Scantling,Adrian Peterson,Breshad Perriman,James Robinson
BN7,AJ Dillon,Dallas Goedert,Nyheim Hines,Tim Patrick,,Darrynton Evans,Laviska Shenault Jr.,Malcolm Brown,Tennessee,Scotty Miller,Bryan Edwards,Hunter Renfrow
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
K,Jake Elliott,Chris Boswell,Ka'imi Fairbairn,Dan Bailey,Justin Tucker,Greg Zuerlein,Matt Prater,Robbie Gould,Harrison Butker,Zane Gonzalez,Younghoe Koo,Wil Lutz
DEF,Minnesota,New Orleans,Baltimore,Buffalo,Indianapolis,Pittsburgh,New England,San Francisco,Philadelphia,Kansas City,Chicago,Seattle
